car_id, first_name, last_name, phone_number, socket_type, travel_distance, latitude, longitude
C001,"John","Doe","+4534567890","Type 1",100,55.876600, 10.614600
C002,"Jane","Smith","+4587654321","Type 2",200,55.799123, 10.597368
C003,"Michael","Johnson","+4567890123","Type 1",300,55.833090, 10.591753
C004,"Sarah","Williams","+4590123456","Type 2",400,55.789095, 10.534983
C005,"David","Brown","+4545678901","Type 1",500,55.810903, 10.555987
C006,"Emily,Taylor","+4512345678","Type 2",600,55.827037, 10.596938
C007,"Robert","Miller","+4556789012","Type 1",700,55.918761, 10.632914
C008,"Jessica","Anderson","+4589012345","Type 2",800,55.906599, 10.604377
C009,"Christopher","Thomas","+4523456789","Type 1",900,55.830619, 10.588337
C010,"Amanda","Jackson","+4578901234","Type 2",1000,55.911918, 10.610174
C011,"Matthew","White","+4556789120","Type 1",1100,55.912503, 10.641021
C012,"Olivia","Harris","+4589120345","Type 2",1200,55.861092, 10.552696
C013,"William","Clark","+4534567890","Type 1",1300,55.878731, 10.626013
C014,"Sophia","Lewis","+4520345678","Type 2",1400,55.849356, 10.549211
C015,"Joseph","Lee","+4567891203","Type 1",1500,55.794464, 10.532009
C016,"Emma","Green","+4501234567","Type 2",1600,55.778861, 10.608733
C017,"Samuel","Adams","+4578912034","Type 1",1700,55.875200, 10.613800
C018,"Isabella","King","+4545678912","Type 2",1800,55.904458, 10.605515
C019,"Andrew","Young","+4591203456","Type 1",1900,55.803589, 10.583446
C020,"Sophia","Hill","+4556789120","Type 2",2000,55.912376, 10.642129
C021,"Benjamin","Baker","+4520345678","Type 1",2100,55.891103, 10.612575

charger_id, station_id, type_1, type_2, CCS, CHAdeMO, charge_spped_type_1, charge_speed_type_2, charge_speed_CCS, charge_speed_CHAdeMO, availability
CH001, S001, 0, 1, 1, 0, 0, 22, 0, 0, 1
CH002, S001, 0, 1, 1, 0, 0, 11, 50, 50, 1
CH003, S001, 0, 1, 1, 1, 0, 23, 300, 60, 0
CH004, S002, 1, 1, 0, 0, 7.4, 43, 0, 0, 1
CH005, S002, 1, 1, 0, 0, 4.5, 22, 0, 0, 1
CH006, S003, 1, 1, 0, 1, 7.0, 22, 0, 50, 0
CH007, S003, 0, 1, 1, 1, 0, 23, 300, 60, 0
CH008, S004, 0, 0, 1, 1, 0, 0, 300, 50, 1
CH009, S004, 0, 0, 1, 1, 0, 0, 150, 50, 0
CH010, S004, 1, 1, 0, 0, 3.7, 43, 0, 0, 1
CH011, S005, 1, 1, 0, 0, 7.4, 43, 0, 0, 1
CH012, S005, 1, 1, 0, 0, 7.4, 43, 0, 0, 1
CH012, S006, 1, 1, 1, 0, 3.7, 22, 200, 0, 1
CH013, S007, 0, 1, 0, 0, 0, 43, 0, 0, 1
CH014, S007, 0, 1, 0, 1, 0, 30, 0, 50, 1
CH015, S007, 0, 1, 0, 0, 0, 22, 0, 0, 1

station_id, provider_name, address, station_position, price_no_subscription, number_of_chargers
S001, "Clever", "Møllebakkevej 1, 8305 Samsø", 55.831128, 10.593543, 3.49, 3
S002, "Clever", "Søndergade 1, 8305 Samsø", 55.879000, 10.616000, 3.49, 2
S003, "E.ON", "Ørby Hovedgade 35A, 8305 Samsø", 55.794139, 10.595924, 4.5, 2
S004, "ViggoEnergy", "Alstrup 7, 8305 Samsø", 55.876914, 10.625741, 4.25, 3
S005, "Q8", "Ved Kæret 2, 8305 Samsø", 55.965085, 10.553124, 3.75, 2
S006, "Spirii", "Langørevej 9, 8305 Samsø", 55.918538, 10.633545, 3.65, 1
S007, "Monta", "Maarup Hovedgade 18, 8305 Samsø", 55.945145, 10.567675, 4.26, 3
